architecture,task_id,task_revision,model_id,condition_id,trials,reachable_successes,reachability_rate,reachability_ci_lower,reachability_ci_upper,task_successes,task_success_rate,task_success_ci_lower,task_success_ci_upper,blindness_reports,blindness_rate,blindness_ci_lower,blindness_ci_upper,reachable_success,reachable_failure,unreachable_success,unreachable_failure,mean_actions,mean_input_tokens,mean_output_tokens,mean_total_tokens,mean_tokens_per_action,mean_elapsed_seconds,mean_provider_cost_usd
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,13977.2,391.2,14368.4,4789.466666666666,8.0015754,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14061.4,409.6,14471.0,4823.666666666667,8.250281300000001,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14859.0,421.2,15280.2,5093.4,8.6700913,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,13986.6,399.0,14385.6,4795.2,7.7609558,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14072.1,409.7,14481.8,4827.266666666666,8.1820156,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14154.5,403.6,14558.1,4852.7,7.9659705,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,level-0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,13872.2,400.3,14272.5,4757.5,8.4228014,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,rendered-canvas,10,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,1,0.1,0.017876213095072896,0.4041500267952385,0,0,0,10,9.8,56884.8,3333.1,60217.9,6144.683673469388,47.997551900000005,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,shadow-closed,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,13909.2,410.3,14319.5,4773.166666666667,7.817226499999999,
dom_extraction,copy-known-value,5,foundry-gpt-5-6-terra,shadow-nested-open-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,13937.2,404.4,14341.6,4780.533333333334,7.9514005,
