architecture,axis_id,level_id,level_order,condition_id,trials,mean_actions,mean_input_tokens,mean_output_tokens,mean_total_tokens,mean_tokens_per_action,provider_cost_available,mean_provider_cost_usd
dom_extraction,iframe-same-origin-depth,depth-0,0,level-0,40,2.0,10694.625,410.675,11105.3,5552.65,False,
dom_extraction,iframe-same-origin-depth,depth-1,1,iframe-same-depth-1,40,2.025,10779.675,475.125,11254.8,5557.925925925926,False,
dom_extraction,iframe-same-origin-depth,depth-2,2,iframe-same-depth-2,40,2.025,11031.25,505.925,11537.175,5697.37037037037,False,
dom_extraction,iframe-same-origin-depth,depth-3,3,iframe-same-depth-3,40,2.0,10903.275,513.05,11416.325,5708.1625,False,
dom_extraction,iframe-cross-origin-depth,depth-0,0,level-0,40,2.0,10694.625,410.675,11105.3,5552.65,False,
dom_extraction,iframe-cross-origin-depth,depth-1,1,iframe-cross-depth-1,40,2.0,10773.2,442.75,11215.95,5607.975,False,
dom_extraction,iframe-cross-origin-depth,depth-2,2,iframe-cross-depth-2,40,2.0,10836.45,499.65,11336.1,5668.05,False,
dom_extraction,iframe-cross-origin-depth,depth-3,3,iframe-cross-depth-3,40,2.0,11073.425,498.6,11572.025,5786.0125,False,
dom_extraction,shadow-containment,none,0,level-0,40,2.0,10694.625,410.675,11105.3,5552.65,False,
dom_extraction,shadow-containment,open,1,shadow-open,40,2.0,10721.15,418.5,11139.65,5569.825,False,
dom_extraction,shadow-containment,closed,2,shadow-closed,40,2.0,10726.575,470.6,11197.175,5598.5875,False,
dom_extraction,shadow-containment,nested-open-open,3,shadow-nested-open-open,40,2.0,10749.075,432.425,11181.5,5590.75,False,
dom_extraction,rendered-target,dom,0,level-0,40,2.0,10694.625,410.675,11105.3,5552.65,False,
dom_extraction,rendered-target,canvas,1,rendered-canvas,40,7.0,47064.4,3205.55,50269.95,7181.421428571429,False,
accessibility_tree,iframe-same-origin-depth,depth-0,0,level-0,40,2.025,8835.8,991.6,9827.4,4853.037037037037,False,
accessibility_tree,iframe-same-origin-depth,depth-1,1,iframe-same-depth-1,40,1.975,12776.5,1090.7,13867.2,7021.367088607595,False,
accessibility_tree,iframe-same-origin-depth,depth-2,2,iframe-same-depth-2,40,2.075,17349.625,2090.825,19440.45,9368.89156626506,False,
accessibility_tree,iframe-same-origin-depth,depth-3,3,iframe-same-depth-3,40,1.975,19748.65,1392.45,21141.1,10704.354430379746,False,
accessibility_tree,iframe-cross-origin-depth,depth-0,0,level-0,40,2.025,8835.8,991.6,9827.4,4853.037037037037,False,
accessibility_tree,iframe-cross-origin-depth,depth-1,1,iframe-cross-depth-1,40,2.0,13068.6,1617.85,14686.45,7343.225,False,
accessibility_tree,iframe-cross-origin-depth,depth-2,2,iframe-cross-depth-2,40,2.075,17044.375,2138.4,19182.775,9244.710843373494,False,
accessibility_tree,iframe-cross-origin-depth,depth-3,3,iframe-cross-depth-3,40,2.075,20626.25,2038.875,22665.125,10922.951807228916,False,
accessibility_tree,shadow-containment,none,0,level-0,40,2.025,8835.8,991.6,9827.4,4853.037037037037,False,
accessibility_tree,shadow-containment,open,1,shadow-open,40,2.0,9052.675,1160.7,10213.375,5106.6875,False,
accessibility_tree,shadow-containment,closed,2,shadow-closed,40,2.05,9426.2,1479.65,10905.85,5319.926829268293,False,
accessibility_tree,shadow-containment,nested-open-open,3,shadow-nested-open-open,40,2.0,9357.6,1265.725,10623.325,5311.6625,False,
accessibility_tree,rendered-target,dom,0,level-0,40,2.025,8835.8,991.6,9827.4,4853.037037037037,False,
accessibility_tree,rendered-target,canvas,1,rendered-canvas,40,2.125,6352.575,5288.475,11641.05,5478.141176470588,False,
vision,iframe-same-origin-depth,depth-0,0,level-0,40,3.075,5274.9,1688.15,6963.05,2264.4065040650407,False,
vision,iframe-same-origin-depth,depth-1,1,iframe-same-depth-1,40,9.4,13600.05,2410.6,16010.65,1703.2606382978724,False,
vision,iframe-same-origin-depth,depth-2,2,iframe-same-depth-2,40,2.5,4222.4,1642.775,5865.175,2346.07,False,
vision,iframe-same-origin-depth,depth-3,3,iframe-same-depth-3,40,3.9,6822.0,2450.425,9272.425,2377.5448717948716,False,
vision,iframe-cross-origin-depth,depth-0,0,level-0,40,3.075,5274.9,1688.15,6963.05,2264.4065040650407,False,
vision,iframe-cross-origin-depth,depth-1,1,iframe-cross-depth-1,40,10.075,14523.45,3437.875,17961.325,1782.7617866004962,False,
vision,iframe-cross-origin-depth,depth-2,2,iframe-cross-depth-2,40,2.75,4680.625,1917.9,6598.525,2399.4636363636364,False,
vision,iframe-cross-origin-depth,depth-3,3,iframe-cross-depth-3,40,3.175,5493.1,2497.1,7990.2,2516.5984251968503,False,
vision,shadow-containment,none,0,level-0,40,3.075,5274.9,1688.15,6963.05,2264.4065040650407,False,
vision,shadow-containment,open,1,shadow-open,40,2.85,4958.125,1673.3,6631.425,2326.815789473684,False,
vision,shadow-containment,closed,2,shadow-closed,40,2.95,5000.875,1624.575,6625.45,2245.915254237288,False,
vision,shadow-containment,nested-open-open,3,shadow-nested-open-open,40,2.425,4040.025,994.35,5034.375,2076.0309278350514,False,
vision,rendered-target,dom,0,level-0,40,3.075,5274.9,1688.15,6963.05,2264.4065040650407,False,
vision,rendered-target,canvas,1,rendered-canvas,40,2.7,4448.45,1689.25,6137.7,2273.222222222222,False,
cdp_frame_traversal,iframe-same-origin-depth,depth-0,0,level-0,40,2.075,3233.4,766.025,3999.425,1927.433734939759,False,
cdp_frame_traversal,iframe-same-origin-depth,depth-1,1,iframe-same-depth-1,40,2.1,5010.775,1519.075,6529.85,3109.4523809523807,False,
cdp_frame_traversal,iframe-same-origin-depth,depth-2,2,iframe-same-depth-2,40,2.025,6198.05,1443.775,7641.825,3773.740740740741,False,
cdp_frame_traversal,iframe-same-origin-depth,depth-3,3,iframe-same-depth-3,40,2.15,8004.975,1728.75,9733.725,4527.313953488372,False,
cdp_frame_traversal,iframe-cross-origin-depth,depth-0,0,level-0,40,2.075,3233.4,766.025,3999.425,1927.433734939759,False,
cdp_frame_traversal,iframe-cross-origin-depth,depth-1,1,iframe-cross-depth-1,40,2.175,5104.825,1480.2,6585.025,3027.597701149425,False,
cdp_frame_traversal,iframe-cross-origin-depth,depth-2,2,iframe-cross-depth-2,40,2.325,7334.95,1902.575,9237.525,3973.1290322580644,False,
cdp_frame_traversal,iframe-cross-origin-depth,depth-3,3,iframe-cross-depth-3,40,2.375,8783.05,1994.275,10777.325,4537.821052631579,False,
cdp_frame_traversal,shadow-containment,none,0,level-0,40,2.075,3233.4,766.025,3999.425,1927.433734939759,False,
cdp_frame_traversal,shadow-containment,open,1,shadow-open,40,2.25,4710.65,1088.075,5798.725,2577.211111111111,False,
cdp_frame_traversal,shadow-containment,closed,2,shadow-closed,40,2.15,4457.95,980.1,5438.05,2529.3255813953488,False,
cdp_frame_traversal,shadow-containment,nested-open-open,3,shadow-nested-open-open,40,2.1,4504.875,869.65,5374.525,2559.2976190476193,False,
cdp_frame_traversal,rendered-target,dom,0,level-0,40,2.075,3233.4,766.025,3999.425,1927.433734939759,False,
cdp_frame_traversal,rendered-target,canvas,1,rendered-canvas,40,8.125,14380.95,10923.2,25304.15,3114.356923076923,False,
