outcome,axis_scope,effect,variance_share,ci_lower,ci_upper,total_ss,component_count,bootstrap_samples
reachable,all,architecture,1.0,1.0,1.0,1.5,10,2000
reachable,all,model,0.0,0.0,0.0,1.5,10,2000
reachable,all,interaction,0.0,0.0,0.0,1.5,10,2000
reachable,iframe-same-origin-depth,architecture,0.0,0.0,0.0,0.0,3,2000
reachable,iframe-same-origin-depth,model,0.0,0.0,0.0,0.0,3,2000
reachable,iframe-same-origin-depth,interaction,0.0,0.0,0.0,0.0,3,2000
reachable,iframe-cross-origin-depth,architecture,0.0,0.0,0.0,0.0,3,2000
reachable,iframe-cross-origin-depth,model,0.0,0.0,0.0,0.0,3,2000
reachable,iframe-cross-origin-depth,interaction,0.0,0.0,0.0,0.0,3,2000
reachable,shadow-containment,architecture,0.0,0.0,0.0,0.0,3,2000
reachable,shadow-containment,model,0.0,0.0,0.0,0.0,3,2000
reachable,shadow-containment,interaction,0.0,0.0,0.0,0.0,3,2000
reachable,rendered-target,architecture,1.0,1.0,1.0,1.5,1,2000
reachable,rendered-target,model,0.0,0.0,0.0,1.5,1,2000
reachable,rendered-target,interaction,0.0,0.0,0.0,1.5,1,2000
task_success,all,architecture,0.4871125611745514,0.4300856300107849,0.5486650704379404,0.9578124999999997,10,2000
task_success,all,model,0.1393148450244698,0.11174098331708364,0.16974589434000956,0.9578124999999997,10,2000
task_success,all,interaction,0.3735725938009788,0.3165879239157285,0.43137585159183967,0.9578124999999997,10,2000
task_success,iframe-same-origin-depth,architecture,0.43015983321751217,0.3993153444557939,0.4560770156438026,0.44968749999999996,3,2000
task_success,iframe-same-origin-depth,model,0.13968033356497567,0.09449929478138222,0.17725752508361203,0.44968749999999996,3,2000
task_success,iframe-same-origin-depth,interaction,0.43015983321751217,0.37110637764691135,0.5079990516741598,0.44968749999999996,3,2000
task_success,iframe-cross-origin-depth,architecture,0.539424280350438,0.43640897755610975,0.6636479229851729,0.49937500000000007,3,2000
task_success,iframe-cross-origin-depth,model,0.1389236545682103,0.10216275433975634,0.17949517867271694,0.49937500000000007,3,2000
task_success,iframe-cross-origin-depth,interaction,0.3216520650813517,0.23312961011591143,0.40897755610972575,0.49937500000000007,3,2000
task_success,shadow-containment,architecture,0.42857142857142855,0.0,0.4285714285714286,0.006562499999999997,3,2000
task_success,shadow-containment,model,0.14285714285714285,0.0,0.14285714285714288,0.006562499999999997,3,2000
task_success,shadow-containment,interaction,0.42857142857142855,0.0,0.4285714285714286,0.006562499999999997,3,2000
task_success,rendered-target,architecture,0.42857142857142827,0.0,0.428571428571429,0.0021875000000000054,1,2000
task_success,rendered-target,model,0.1428571428571415,0.0,0.142857142857143,0.0021875000000000054,1,2000
task_success,rendered-target,interaction,0.42857142857143016,0.0,0.42857142857143016,0.0021875000000000054,1,2000
