layout,criterion,successes,trials,rate,wilson_low,wilson_high
canvas-inline-bar,exact_match,0,40,0.0,0.0,0.08762160119728664
canvas-inline-bar,substring_match,37,40,0.925,0.8013576647568946,0.9741639742254119
canvas-inline-bar,target_without_marker,0,40,0.0,0.0,0.08762160119728664
canvas-inline-two-spaces,exact_match,0,40,0.0,0.0,0.08762160119728664
canvas-inline-two-spaces,substring_match,35,40,0.875,0.738878801611489,0.945404997490546
canvas-inline-two-spaces,target_without_marker,0,40,0.0,0.0,0.08762160119728664
canvas-inline-gap-40px,exact_match,10,40,0.25,0.14187118639096302,0.40193961420768026
canvas-inline-gap-40px,substring_match,29,40,0.725,0.5716504419378943,0.8389198375233267
canvas-inline-gap-40px,target_without_marker,10,40,0.25,0.14187118639096302,0.40193961420768026
canvas-separate-line,exact_match,31,40,0.775,0.6249690325768998,0.8768390867645927
canvas-separate-line,substring_match,37,40,0.925,0.8013576647568946,0.9741639742254119
canvas-separate-line,target_without_marker,31,40,0.775,0.6249690325768998,0.8768390867645927
canvas-opposite-corner,exact_match,38,40,0.95,0.8349612263085903,0.9861793326138516
canvas-opposite-corner,substring_match,38,40,0.95,0.8349612263085903,0.9861793326138516
canvas-opposite-corner,target_without_marker,38,40,0.95,0.8349612263085903,0.9861793326138516
dom-inline-bar,exact_match,0,40,0.0,0.0,0.08762160119728664
dom-inline-bar,substring_match,40,40,1.0,0.9123783988027135,1.0000000000000002
dom-inline-bar,target_without_marker,0,40,0.0,0.0,0.08762160119728664
