model_id,task_id,condition_id,successes,trials,reachable
foundry-gpt-5-4,copy-known-value,level-0,10,10,10
foundry-gpt-5-4,copy-known-value,iframe-same-depth-1,2,10,10
foundry-gpt-5-4,copy-known-value,iframe-same-depth-2,0,10,10
foundry-gpt-5-4,copy-known-value,iframe-same-depth-3,7,10,10
foundry-gpt-5-4,copy-known-value,iframe-cross-depth-1,0,10,10
foundry-gpt-5-4,copy-known-value,iframe-cross-depth-2,7,10,10
foundry-gpt-5-4,copy-known-value,iframe-cross-depth-3,2,10,10
foundry-gpt-5-4,copy-known-value,shadow-open,8,10,10
foundry-gpt-5-4,copy-known-value,shadow-closed,9,10,10
foundry-gpt-5-4,copy-known-value,shadow-nested-open-open,9,10,10
foundry-gpt-5-4,copy-known-value,rendered-canvas,6,10,10
foundry-gpt-5-4,read-known-value,level-0,10,10,10
foundry-gpt-5-4,read-known-value,iframe-same-depth-1,10,10,10
foundry-gpt-5-4,read-known-value,iframe-same-depth-2,10,10,10
foundry-gpt-5-4,read-known-value,iframe-same-depth-3,10,10,10
foundry-gpt-5-4,read-known-value,iframe-cross-depth-1,10,10,10
foundry-gpt-5-4,read-known-value,iframe-cross-depth-2,10,10,10
foundry-gpt-5-4,read-known-value,iframe-cross-depth-3,10,10,10
foundry-gpt-5-4,read-known-value,shadow-open,10,10,10
foundry-gpt-5-4,read-known-value,shadow-closed,10,10,10
foundry-gpt-5-4,read-known-value,shadow-nested-open-open,10,10,10
foundry-gpt-5-4,read-known-value,rendered-canvas,9,10,10
foundry-gpt-5-6-terra,copy-known-value,level-0,10,10,10
foundry-gpt-5-6-terra,copy-known-value,iframe-same-depth-1,0,10,10
foundry-gpt-5-6-terra,copy-known-value,iframe-same-depth-2,10,10,10
foundry-gpt-5-6-terra,copy-known-value,iframe-same-depth-3,10,10,10
foundry-gpt-5-6-terra,copy-known-value,iframe-cross-depth-1,0,10,10
foundry-gpt-5-6-terra,copy-known-value,iframe-cross-depth-2,10,10,10
foundry-gpt-5-6-terra,copy-known-value,iframe-cross-depth-3,9,10,10
foundry-gpt-5-6-terra,copy-known-value,shadow-open,10,10,10
foundry-gpt-5-6-terra,copy-known-value,shadow-closed,10,10,10
foundry-gpt-5-6-terra,copy-known-value,shadow-nested-open-open,10,10,10
foundry-gpt-5-6-terra,copy-known-value,rendered-canvas,0,10,10
foundry-gpt-5-6-terra,read-known-value,level-0,10,10,10
foundry-gpt-5-6-terra,read-known-value,iframe-same-depth-1,10,10,10
foundry-gpt-5-6-terra,read-known-value,iframe-same-depth-2,10,10,10
foundry-gpt-5-6-terra,read-known-value,iframe-same-depth-3,0,10,10
foundry-gpt-5-6-terra,read-known-value,iframe-cross-depth-1,10,10,10
