model,layout,gap,metric,count,n,rate,low,high
foundry/Kimi-K2.6,cards,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,cards,8,substring_match,22,40,0.55,0.39829091798932054,0.6929469218909508
foundry/Kimi-K2.6,cards,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,cards,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,cards,8,delimitation_error,35,40,0.875,0.738878801611489,0.945404997490546
foundry/Kimi-K2.6,cards,40,exact_match,6,40,0.15,0.07061187717320358,0.2907232436648971
foundry/Kimi-K2.6,cards,40,substring_match,6,40,0.15,0.07061187717320358,0.2907232436648971
foundry/Kimi-K2.6,cards,40,target_without_marker,6,40,0.15,0.07061187717320358,0.2907232436648971
foundry/Kimi-K2.6,cards,40,content_exact,6,40,0.15,0.07061187717320358,0.2907232436648971
foundry/Kimi-K2.6,cards,40,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,cards,96,exact_match,12,40,0.3,0.18074845229746528,0.45430018818144935
foundry/Kimi-K2.6,cards,96,substring_match,12,40,0.3,0.18074845229746528,0.45430018818144935
foundry/Kimi-K2.6,cards,96,target_without_marker,12,40,0.3,0.18074845229746528,0.45430018818144935
foundry/Kimi-K2.6,cards,96,content_exact,13,40,0.325,0.200845022317827,0.47982253810122333
foundry/Kimi-K2.6,cards,96,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,form,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,form,8,substring_match,26,40,0.65,0.49505880837257693,0.7786547112682372
foundry/Kimi-K2.6,form,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,form,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,form,8,delimitation_error,34,40,0.85,0.709276756335103,0.9293881228267964
foundry/Kimi-K2.6,form,40,exact_match,25,40,0.625,0.47032439137301096,0.7577702083276673
foundry/Kimi-K2.6,form,40,substring_match,25,40,0.625,0.47032439137301096,0.7577702083276673
foundry/Kimi-K2.6,form,40,target_without_marker,25,40,0.625,0.47032439137301096,0.7577702083276673
foundry/Kimi-K2.6,form,40,content_exact,26,40,0.65,0.49505880837257693,0.7786547112682372
foundry/Kimi-K2.6,form,40,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,form,96,exact_match,23,40,0.575,0.42195068541991065,0.7149060744004962
foundry/Kimi-K2.6,form,96,substring_match,23,40,0.575,0.42195068541991065,0.7149060744004962
foundry/Kimi-K2.6,form,96,target_without_marker,23,40,0.575,0.42195068541991065,0.7149060744004962
foundry/Kimi-K2.6,form,96,content_exact,23,40,0.575,0.42195068541991065,0.7149060744004962
foundry/Kimi-K2.6,form,96,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,table,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,table,8,substring_match,19,40,0.475,0.329354701126789,0.6250263789330753
foundry/Kimi-K2.6,table,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,table,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,table,8,delimitation_error,31,40,0.775,0.6249690325768998,0.8768390867645927
foundry/Kimi-K2.6,table,40,exact_match,23,40,0.575,0.42195068541991065,0.7149060744004962
foundry/Kimi-K2.6,table,40,substring_match,23,40,0.575,0.42195068541991065,0.7149060744004962
foundry/Kimi-K2.6,table,40,target_without_marker,23,40,0.575,0.42195068541991065,0.7149060744004962
foundry/Kimi-K2.6,table,40,content_exact,23,40,0.575,0.42195068541991065,0.7149060744004962
foundry/Kimi-K2.6,table,40,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/Kimi-K2.6,table,96,exact_match,27,40,0.675,0.5201774618987768,0.799154977682173
foundry/Kimi-K2.6,table,96,substring_match,27,40,0.675,0.5201774618987768,0.799154977682173
foundry/Kimi-K2.6,table,96,target_without_marker,27,40,0.675,0.5201774618987768,0.799154977682173
foundry/Kimi-K2.6,table,96,content_exact,29,40,0.725,0.5716504419378943,0.8389198375233267
foundry/Kimi-K2.6,table,96,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,cards,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,cards,8,substring_match,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5-mini,cards,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,cards,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,cards,8,delimitation_error,31,40,0.775,0.6249690325768998,0.8768390867645927
foundry/gpt-5-mini,cards,40,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,cards,40,substring_match,18,40,0.45,0.3070530781090492,0.6017090820106794
foundry/gpt-5-mini,cards,40,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,cards,40,content_exact,3,40,0.075,0.025836025774588198,0.19864233524310543
foundry/gpt-5-mini,cards,40,delimitation_error,24,40,0.6,0.44595893660346186,0.7365167431570808
foundry/gpt-5-mini,cards,96,exact_match,16,40,0.4,0.2634832568429192,0.5540410633965381
foundry/gpt-5-mini,cards,96,substring_match,21,40,0.525,0.3749736210669248,0.670645298873211
foundry/gpt-5-mini,cards,96,target_without_marker,16,40,0.4,0.2634832568429192,0.5540410633965381
foundry/gpt-5-mini,cards,96,content_exact,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5-mini,cards,96,delimitation_error,6,40,0.15,0.07061187717320358,0.2907232436648971
foundry/gpt-5-mini,form,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,form,8,substring_match,20,40,0.5,0.35199526933465386,0.6480047306653461
foundry/gpt-5-mini,form,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,form,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5-mini,form,8,delimitation_error,30,40,0.75,0.5980603857923197,0.858128813609037
foundry/gpt-5-mini,form,40,exact_match,4,40,0.1,0.03957952868260638,0.23051775227522298
