model,task_id,origin,depth,pairs,bootstrap_position_blocks,baseline,treatment,difference,bootstrap_low,bootstrap_high,improved,worsened,mcnemar_exact_p
foundry/gpt-5.6-terra,read-known-value,same,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,read-known-value,same,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,read-known-value,same,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,read-known-value,cross,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,read-known-value,cross,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,read-known-value,cross,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,copy-known-value,same,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,copy-known-value,same,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,copy-known-value,same,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,copy-known-value,cross,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,copy-known-value,cross,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.6-terra,copy-known-value,cross,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/Kimi-K2.6,read-known-value,same,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/Kimi-K2.6,read-known-value,same,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/Kimi-K2.6,read-known-value,same,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/Kimi-K2.6,read-known-value,cross,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/Kimi-K2.6,read-known-value,cross,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/Kimi-K2.6,read-known-value,cross,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/Kimi-K2.6,copy-known-value,same,1,10,10,10,9,-0.1,-0.3,0.0,0,1,1.0
foundry/Kimi-K2.6,copy-known-value,same,2,10,10,10,7,-0.3,-0.6,0.0,0,3,0.25
foundry/Kimi-K2.6,copy-known-value,same,3,10,10,10,8,-0.2,-0.5,0.0,0,2,0.5
foundry/Kimi-K2.6,copy-known-value,cross,1,10,10,10,5,-0.5,-0.8,-0.2,0,5,0.0625
foundry/Kimi-K2.6,copy-known-value,cross,2,10,10,10,9,-0.1,-0.3,0.0,0,1,1.0
foundry/Kimi-K2.6,copy-known-value,cross,3,10,10,10,8,-0.2,-0.5,0.0,0,2,0.5
foundry/gpt-5.4,read-known-value,same,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.4,read-known-value,same,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.4,read-known-value,same,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.4,read-known-value,cross,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.4,read-known-value,cross,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.4,read-known-value,cross,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5.4,copy-known-value,same,1,10,10,8,5,-0.3,-0.7,0.1,1,4,0.375
foundry/gpt-5.4,copy-known-value,same,2,10,10,8,4,-0.4,-0.7,-0.1,0,4,0.125
foundry/gpt-5.4,copy-known-value,same,3,10,10,8,6,-0.2,-0.6,0.2,1,3,0.625
foundry/gpt-5.4,copy-known-value,cross,1,10,10,8,6,-0.2,-0.6,0.2,1,3,0.625
foundry/gpt-5.4,copy-known-value,cross,2,10,10,8,7,-0.1,-0.4,0.2,1,2,1.0
foundry/gpt-5.4,copy-known-value,cross,3,10,10,8,8,0.0,-0.3,0.3,1,1,1.0
foundry/gpt-5-mini,read-known-value,same,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5-mini,read-known-value,same,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5-mini,read-known-value,same,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5-mini,read-known-value,cross,1,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5-mini,read-known-value,cross,2,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5-mini,read-known-value,cross,3,10,10,10,10,0.0,0.0,0.0,0,0,1.0
foundry/gpt-5-mini,copy-known-value,same,1,10,10,1,2,0.1,-0.2,0.4,2,1,1.0
foundry/gpt-5-mini,copy-known-value,same,2,10,10,1,3,0.2,0.0,0.5,2,0,0.5
foundry/gpt-5-mini,copy-known-value,same,3,10,10,1,0,-0.1,-0.3,0.0,0,1,1.0
foundry/gpt-5-mini,copy-known-value,cross,1,10,10,1,2,0.1,-0.2,0.4,2,1,1.0
foundry/gpt-5-mini,copy-known-value,cross,2,10,10,1,1,0.0,-0.3,0.3,1,1,1.0
foundry/gpt-5-mini,copy-known-value,cross,3,10,10,1,1,0.0,-0.3,0.3,1,1,1.0
