model,task_id,intervention,metric,count,n,rate,low,high
foundry/Kimi-K2.6,copy-known-value,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,baseline,substring_match,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/Kimi-K2.6,copy-known-value,baseline,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,baseline,delimitation_error,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/Kimi-K2.6,copy-known-value,format,exact_match,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/Kimi-K2.6,copy-known-value,format,substring_match,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/Kimi-K2.6,copy-known-value,format,target_without_marker,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/Kimi-K2.6,copy-known-value,format,content_exact,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/Kimi-K2.6,copy-known-value,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,baseline,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,baseline,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,baseline,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,format,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,format,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,format,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,format,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,baseline,substring_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,baseline,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,baseline,delimitation_error,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5-mini,copy-known-value,format,exact_match,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,format,substring_match,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,format,target_without_marker,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,format,content_exact,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5-mini,copy-known-value,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,baseline,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,baseline,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,baseline,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,format,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,format,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,format,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,format,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,baseline,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,copy-known-value,baseline,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,copy-known-value,baseline,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,copy-known-value,format,exact_match,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5.4,copy-known-value,format,substring_match,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5.4,copy-known-value,format,target_without_marker,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5.4,copy-known-value,format,content_exact,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5.4,copy-known-value,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.4,read-known-value,baseline,exact_match,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5.4,read-known-value,baseline,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,baseline,target_without_marker,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5.4,read-known-value,baseline,content_exact,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5.4,read-known-value,baseline,delimitation_error,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.4,read-known-value,format,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,format,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,format,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,format,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.4,read-known-value,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,baseline,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,baseline,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,baseline,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,format,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,format,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,format,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,format,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,copy-known-value,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,baseline,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,baseline,target_without_marker,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,baseline,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,format,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,format,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,format,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,format,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
