model,task_id,layout,metric,count,n,rate,low,high
foundry/Kimi-K2.6,copy-known-value,cards,exact_match,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/Kimi-K2.6,copy-known-value,cards,substring_match,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/Kimi-K2.6,copy-known-value,cards,target_without_marker,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/Kimi-K2.6,copy-known-value,cards,content_exact,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,cards,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,form,exact_match,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/Kimi-K2.6,copy-known-value,form,substring_match,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/Kimi-K2.6,copy-known-value,form,target_without_marker,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/Kimi-K2.6,copy-known-value,form,content_exact,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/Kimi-K2.6,copy-known-value,form,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,table,exact_match,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/Kimi-K2.6,copy-known-value,table,substring_match,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/Kimi-K2.6,copy-known-value,table,target_without_marker,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/Kimi-K2.6,copy-known-value,table,content_exact,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/Kimi-K2.6,copy-known-value,table,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,cards,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,cards,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,cards,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,cards,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
