model,layout,metric,count,n,rate,low,high
foundry/Kimi-K2.6,canvas-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,canvas-inline-bar,substring_match,17,20,0.85,0.6395811352592431,0.9476312541037835
foundry/Kimi-K2.6,canvas-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,canvas-inline-gap-40px,exact_match,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/Kimi-K2.6,canvas-inline-gap-40px,substring_match,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/Kimi-K2.6,canvas-inline-gap-40px,target_without_marker,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/Kimi-K2.6,canvas-inline-two-spaces,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,canvas-inline-two-spaces,substring_match,15,20,0.75,0.531299122381256,0.8881382985923343
foundry/Kimi-K2.6,canvas-inline-two-spaces,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,canvas-opposite-corner,exact_match,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,canvas-opposite-corner,substring_match,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,canvas-opposite-corner,target_without_marker,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,canvas-separate-line,exact_match,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,canvas-separate-line,substring_match,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,canvas-separate-line,target_without_marker,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/Kimi-K2.6,dom-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/Kimi-K2.6,dom-inline-bar,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/Kimi-K2.6,dom-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-inline-bar,substring_match,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/gpt-5-mini,canvas-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-inline-gap-40px,exact_match,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/gpt-5-mini,canvas-inline-gap-40px,substring_match,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/gpt-5-mini,canvas-inline-gap-40px,target_without_marker,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/gpt-5-mini,canvas-inline-two-spaces,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-inline-two-spaces,substring_match,11,20,0.55,0.34208534245034233,0.7418021417443759
foundry/gpt-5-mini,canvas-inline-two-spaces,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,canvas-opposite-corner,exact_match,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5-mini,canvas-opposite-corner,substring_match,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5-mini,canvas-opposite-corner,target_without_marker,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5-mini,canvas-separate-line,exact_match,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5-mini,canvas-separate-line,substring_match,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5-mini,canvas-separate-line,target_without_marker,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5-mini,dom-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5-mini,dom-inline-bar,substring_match,11,20,0.55,0.34208534245034233,0.7418021417443759
foundry/gpt-5-mini,dom-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.4,canvas-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.4,canvas-inline-bar,substring_match,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5.4,canvas-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.4,canvas-inline-gap-40px,exact_match,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/gpt-5.4,canvas-inline-gap-40px,substring_match,19,20,0.95,0.763868806553258,0.9911185511992047
foundry/gpt-5.4,canvas-inline-gap-40px,target_without_marker,18,20,0.9,0.6989663547715128,0.9721335187862319
foundry/gpt-5.4,canvas-inline-two-spaces,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.4,canvas-inline-two-spaces,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.4,canvas-inline-two-spaces,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.4,canvas-opposite-corner,exact_match,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5.4,canvas-opposite-corner,substring_match,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5.4,canvas-opposite-corner,target_without_marker,13,20,0.65,0.43285427668523624,0.818808175898918
foundry/gpt-5.4,canvas-separate-line,exact_match,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/gpt-5.4,canvas-separate-line,substring_match,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/gpt-5.4,canvas-separate-line,target_without_marker,10,20,0.5,0.2992980081982123,0.7007019918017877
foundry/gpt-5.4,dom-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.4,dom-inline-bar,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.4,dom-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-bar,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-bar,substring_match,20,20,1.0,0.8388748419471806,1.0
foundry/gpt-5.6-terra,canvas-inline-bar,target_without_marker,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-gap-40px,exact_match,0,20,0.0,0.0,0.16112515805281938
foundry/gpt-5.6-terra,canvas-inline-gap-40px,substring_match,19,20,0.95,0.763868806553258,0.9911185511992047
